Plant_Code,Site,Treatment_Code,Black,julDate,Month,Day,BranchTempF(orig),BranchTempC
A18,A,56,0,89,Mar,29,66,18.9
A19,A,57,1,89,Mar,29,65,18.3
A19,A,57,1,89,Mar,29,63,17.2
A19,A,57,1,89,Mar,29,63,17.2
A20,A,57,1,89,Mar,29,80,26.7
A20,A,57,1,89,Mar,29,75,23.9
A20,A,57,1,89,Mar,29,73,22.8
A21,A,57,1,89,Mar,29,61,16.1
A21,A,57,1,89,Mar,29,60,15.6
A21,A,57,1,89,Mar,29,59,15
B01,B,51,1,94,Apr,3,79,26.1
B01,B,51,1,94,Apr,3,76,24.4
B01,B,51,1,94,Apr,3,75,23.9
B02,B,51,1,94,Apr,3,74,23.3
B02,B,51,1,94,Apr,3,73,22.8
B02,B,51,1,94,Apr,3,68,20
B03,B,51,1,94,Apr,3,74,23.3
B03,B,51,1,94,Apr,3,72,22.2
B03,B,51,1,94,Apr,3,72,22.2
B04,B,52,1,94,Apr,3,74,23.3
B04,B,52,1,94,Apr,3,74,23.3
B04,B,52,1,94,Apr,3,73,22.8
B05,B,52,1,94,Apr,3,77,25
B05,B,52,1,94,Apr,3,74,23.3
B05,B,52,1,94,Apr,3,73,22.8
B06,B,52,1,94,Apr,3,78,25.6
B06,B,52,1,94,Apr,3,75,23.9
B06,B,52,1,94,Apr,3,74,23.3
B07,B,53,0,94,Apr,3,72,22.2
B07,B,53,0,94,Apr,3,71,21.7
B07,B,53,0,94,Apr,3,71,21.7
B08,B,53,0,94,Apr,3,78,25.6
B08,B,53,0,94,Apr,3,75,23.9
B08,B,53,0,94,Apr,3,75,23.9
B09,B,53,0,94,Apr,3,68,20
B09,B,53,0,94,Apr,3,68,20
B09,B,53,0,94,Apr,3,67,19.4
B10,B,54,0,94,Apr,3,74,23.3
B10,B,54,0,94,Apr,3,73,22.8
B10,B,54,0,94,Apr,3,72,22.2
B11,B,54,0,94,Apr,3,76,24.4
B11,B,54,0,94,Apr,3,75,23.9
B11,B,54,0,94,Apr,3,72,22.2
B12,B,54,0,94,Apr,3,80,26.7
B12,B,54,0,94,Apr,3,79,26.1
B12,B,54,0,94,Apr,3,77,25
B13,B,55,1,94,Apr,3,73,22.8
B13,B,55,1,94,Apr,3,72,22.2
B13,B,55,1,94,Apr,3,71,21.7
B14,B,55,1,94,Apr,3,76,24.4
B14,B,55,1,94,Apr,3,76,24.4
B14,B,55,1,94,Apr,3,68,20
B15,B,55,1,94,Apr,3,74,23.3
B15,B,55,1,94,Apr,3,73,22.8
